"Registracijas_kods","Nosaukums","Taksacijas_gads_ceturksnis","Samaksato_VID_administreto_nodoklu_kopsumma_tukst_EUR","Taja_skaita_PVN_iemaksa","Taja_skaita_PVN_atmaksa","Taja_skaita_IIN_summa","Taja_skaita_VSAOI_summa","Videjais_nodarbinato_personu_skaits_cilv"
"40001000135","DZIDRI SIA","2026. gada 1. ceturksnis","0.29","0.04","0.00","0.01","0.21","2"
"40001000313","LIELOZOLI SIA","2026. gada 1. ceturksnis","0.75","0.41","0.00","0.05","0.28","2"
"40001000578","ĶĪŠI ZS SIA","2026. gada 1. ceturksnis","0.86","0.04","0.00","0.15","0.67","3"
"40001001338","PRIEŽKUNDZIŅI SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40001002121","CENSUVA SIA","2026. gada 1. ceturksnis","11.56","4.27","0.00","2.40","4.88","4"
"40001002973","BRĪVNIEKI M SIA","2026. gada 1. ceturksnis","12.50","5.77","0.00","0.74","5.97","7"
"40001003752","JAUNZELTIŅI SIA","2026. gada 1. ceturksnis","67.54","0.00","85.48","47.28","105.07","56"
"40001003911","ELREG SIA","2026. gada 1. ceturksnis","7.55","4.44","0.00","1.19","1.41","5"
"40001004118","MIĶELĒNI SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40001004226","RIGA ESTATE COMPLEX SIA","2026. gada 1. ceturksnis","34.66","19.80","1.14","6.33","9.66","4"
"40001005039","CIEMGAĻI SIA","2026. gada 1. ceturksnis","2.42","1.56","0.70","1.25","0.30","1"
"40001005471","RUBEŅI SIA","2026. gada 1. ceturksnis","298.79","146.96","0.00","40.99","110.32","69"
"40001005664","MAURIŅI-S SIA","2026. gada 1. ceturksnis","24.34","10.09","0.00","4.21","9.77","8"
"40001006246","JAGITEH SIA","2026. gada 1. ceturksnis","0.07","0.02","0.00","0.00","0.00","0"
"40001006301","MĀRUPES SĒKLAS SIA","2026. gada 1. ceturksnis","63.96","46.49","0.00","5.28","12.18","7"
"40001006424","MEŽMAĻI+ SIA","2026. gada 1. ceturksnis","59.75","2.14","4.36","17.70","43.98","28"
"40001006617","KALNIŅI AL SIA","2026. gada 1. ceturksnis","16.46","6.32","0.00","1.99","8.06","11"
"40001006640","BRĪVZEMNIEKI-MELIOR SIA","2026. gada 1. ceturksnis","44.84","5.73","17.45","17.96","38.59","23"
"40001006871","LIELANTENI SIA","2026. gada 1. ceturksnis","27.58","1.33","13.11","11.13","28.20","19"
"40001006918","SR LINE SIA","2026. gada 1. ceturksnis","3.34","1.79","0.13","0.68","0.99","2"
"40001007241","VEKSEĻU KRĀJFONDS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40001007453","PĒTERTĀLES SIA","2026. gada 1. ceturksnis"," -19.18","0.64","54.46","12.02","22.61","16"
"40001008590","ANSKALI IK","2026. gada 1. ceturksnis","0.00","0.06","0.27","0.08","0.13","2"
"40001008730","JAUNKAUDZĪTES SIA","2026. gada 1. ceturksnis"," -9.20","0.00","21.50","4.74","7.54","9"
"40001009007","ORIOLE FINANCE SIA","2026. gada 1. ceturksnis","0.05","0.00","0.00","0.00","0.00","0"
"40001009223","KERNAUTO SIA","2026. gada 1. ceturksnis","0.27","0.00","0.00","0.00","0.20","0"
"40001009276","VECTIRUKŠI SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40001009863","ĒMAS SIA","2026. gada 1. ceturksnis","1.06","0.00","4.70","1.27","4.48","4"
"40001009986","ČOKAS SIA","2026. gada 1. ceturksnis","6.34","3.62","0.00","1.28","1.43","2"
"40001010133","LEJASKORNIEŠI IK","2026. gada 1. ceturksnis","14.42","5.80","0.71","3.42","5.89","8"
"40001010218","ZELTBIRZES SIA","2026. gada 1. ceturksnis","0.03","0.00","0.02","0.00","0.00","1"
"40001011798","RBO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40001012613","GREENGOLD TIMBERLANDS 2 SIA","2026. gada 1. ceturksnis","6.69","5.46","1.15","1.36","1.02","1"
"40001012897","AĢES DZIRNAVAS SIA","2026. gada 1. ceturksnis","0.80","0.12","0.00","0.00","0.00","0"
"40001013106","PILSKALNU DĀRZEŅI SIA","2026. gada 1. ceturksnis","4.88","2.87","0.00","0.21","1.80","3"
"40001013553","CIMMERMAŅI IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40001013939","IKŠĶILES ZIEDS SIA","2026. gada 1. ceturksnis","7.18","2.82","0.00","0.66","3.70","7"
"40001014934","JAUNSIRMĒNI SIA","2026. gada 1. ceturksnis"," -0.08","0.00","0.13","0.00","0.00","0"
"40001015268","MAZRASAS SIA","2026. gada 1. ceturksnis","0.64","0.53","0.00","0.07","0.05","1"
"40001016193","WILDE SIA","2026. gada 1. ceturksnis","16.79","1.25","5.67","7.37","13.83","13"
"40001016386","LAUBERES OGAS SIA","2026. gada 1. ceturksnis","0.15","0.00","0.16","0.12","0.19","1"
"40001016812","SLOVAŠĒNI SIA","2026. gada 1. ceturksnis"," -0.09","0.01","0.65","0.22","0.33","1"
"40001017184","KALNSPRUKAS SIA","2026. gada 1. ceturksnis"," -14.08","1.81","26.05","4.20","5.95","4"
"40001017413","DIVI JAUNCERIŅI SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","5"
"40001024222","NORDIC FARMERS SIA","2026. gada 1. ceturksnis","0.37","0.40","0.03","0.00","0.00","1"
"40001024504","PROJEKTS ZEMOZOLI SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002000043","KĀRLIS SIA","2026. gada 1. ceturksnis","82.03","52.55","4.27","10.82","22.91","15"
"40002000062","DOMUS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002000202","SHOP PRO SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002000255","LORA SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002000594","VINILTEKS SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002000876","ĢIMENES ĀRSTA ANDRA LASMAŅA KLĪNIKA ALMA SIA","2026. gada 1. ceturksnis","53.18","0.00","0.00","12.74","24.42","19"
"40002001049","MERISA SIA","2026. gada 1. ceturksnis","0.29","0.00","0.91","0.24","0.95","4"
"40002001104","LĪGO SIA","2026. gada 1. ceturksnis","0.14","0.09","0.00","0.00","0.00","0"
"40002001354","BUSI-DO IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","2"
"40002001373","AG SIA","2026. gada 1. ceturksnis","17.89","0.00","11.97","10.33","19.47","27"
"40002001547","ĶĪPA SIA","2026. gada 1. ceturksnis","0.88","0.00","0.00","0.10","0.78","1"
"40002001566","MEG AKVA SIA","2026. gada 1. ceturksnis","2.73","1.92","0.00","0.25","0.24","1"
"40002001763","INTROSPEKT IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","1"
"40002001829","CONECT IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002002237","ZEMEŅU UZLĒJUMS INDIVIDUĀLAIS UZŅĒMUMS","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002003270","L-PROJEKTS IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002003285","AR & DE SIA","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","1"
"40002003497","MARTAS KRASTAS GALERIJA M & S IK","2026. gada 1. ceturksnis","0.33","0.00","0.00","0.00","0.00","0"
"40002004149","NEIDE SIA","2026. gada 1. ceturksnis","1.70","0.52","0.00","0.23","0.94","2"
"40002004168","LIKTENIS SIA","2026. gada 1. ceturksnis","132.17","0.00","26.80","63.63","92.22","51"
"40002004261","ASK ENTERPRISE SIA","2026. gada 1. ceturksnis","118.93","0.00","82.40","42.34","82.38","44"
"40002004628","MECHANICS INDUSTRY IK","2026. gada 1. ceturksnis","0.91","0.57","0.00","0.00","0.34","1"
"40002005229","ELEKTRONS & MAX IK","2026. gada 1. ceturksnis","0.00","0.00","0.00","0.00","0.00","0"
"40002005619","VIZARH SIA","2026. gada 1. ceturksnis","2.10","1.43","0.10","0.26","0.51","2"
"40002006489","KOMANDORS SIA","2026. gada 1. ceturksnis","0.03","0.00","0.00","0.00","0.03","0"
"40002006718","PROJEKTU BIROJS RĪGĀ-E.BUŠS ARHITEKTS SIA","2026. gada 1. ceturksnis","0.02","0.00","0.00","0.00","0.02","1"
